1 (875, 396) 2014.02.16_16.18.46.755
2 (1450, 500) 2014.02.16_16.18.48.518
3 (136, 1312) 2014.02.16_16.18.50.596
4 (135, 872) 2014.02.16_16.18.52.206
5 (1475, 404) 2014.02.16_16.19.06.314
6 (1074, 497) 2014.02.16_16.19.08.064
7 (1501, 760) 2014.02.16_16.19.11.374
8 (666, 466) 2014.02.16_16.19.14.004
9 (861, 438) 2014.02.16_16.27.22.459
